name,category,description,price,rating,image,images,shipping
Milk,dairy,"Milk is a nutrient-rich liquid food produced by the mammary glands of mammals. It is the primary source of nutrition for young mammals, including breastfed human infants 
before they are able to digest solid food.Early-lactation milk is called colostrum, which contains antibodies that strengthen the immune system and thus reduces the risk of many diseases.
It holds many other nutrients,including protein and lactose. Interspecies consumption of milk is not uncommon, particularly among humans, many of whom consume the milk of other mammals. ",14.77,0,https://www.bigbasket.com/media/uploads/p/l/40041431_1-amul-taaza-fresh-toned-milk.jpg,https://www.bigbasket.com/media/uploads/p/l/40041431_1-amul-taaza-fresh-toned-milk.jpg,TRUE
Fresh tomato,fruit,Fresh tomato juice with basil,16.3,2,https://i2.wp.com/wrofood.com/wp-content/uploads/2020/05/pomidroposki.jpg?fit=620%2C413&ssl=1,"https://i2.wp.com/wrofood.com/wp-content/uploads/2020/05/pomidroposki.jpg?fit=620%2C413&ssl=1,https://media.istockphoto.com/photos/tomato-isolated-on-white-background-picture-id466175630?k=6&m=466175630&s=612x612&w=0&h=fu_mQBjGJZIliOWwCR0Vf2myRvKWyQDsymxEIi8tZ38=",TRUE
Paneer,dairy,"Paneer or Indian cottage cheese is a fresh acid-set cheese common in the Indian subcontinent (India, Pakistan, Bangladesh) made from cow or buffalo milk. It is a non-aged, non-melting soft cheese made by curdling milk with a fruit- or vegetable-derived acid, such as lemon juice.",13.02,2, https://www.bigbasket.com/media/uploads/p/l/264679_2-milky-mist-paneer-premium-fresh.jpg,"https://www.bigbasket.com/media/uploads/p/l/264679_2-milky-mist-paneer-premium-fresh.jpg,https://www.bigbasket.com/media/uploads/p/l/264679-3_2-milky-mist-paneer-premium-fresh.jpg",TRUE
Green beans,vegetable,Raw organic green beans ready to eat,28.79,1,https://thefamilydinnerproject.org/wp-content/uploads/2013/09/Green-bean-lime-633x326.jpg,"https://thefamilydinnerproject.org/wp-content/uploads/2013/09/Green-bean-lime-633x326.jpg,https://media.gettyimages.com/photos/green-beans-picture-id175396707?k=6&m=175396707&s=612x612&w=0&h=APR5zaZyADFJPWkOrm_Y7tnE3hg1G3B9O2G7M0CaqBY=",TRUE
Mushrooms,vegetable,Homemade baked stuffed portabello mushrooms with spinach and cheese,20.31,1,https://media.istockphoto.com/photos/fresh-agaricus-bisporus-or-portobello-mushrooms-picture-id1140162145?k=6&m=1140162145&s=612x612&w=0&h=68gcZl3g76k4eM9yrU-Xvh67zMjn4hhgwkGYoLFAKdM=,"https://media.istockphoto.com/photos/fresh-agaricus-bisporus-or-portobello-mushrooms-picture-id1140162145?k=6&m=1140162145&s=612x612&w=0&h=68gcZl3g76k4eM9yrU-Xvh67zMjn4hhgwkGYoLFAKdM=,https://media.istockphoto.com/photos/fresh-raw-royal-champignon-picture-id1021788048?s=612x612",TRUE
Fanta,beverages,Fanta is a brand of fruit-flavored carbonated soft drinks created by Coca-Cola Deutschland under the leadership of German businessman Max Keith. There are more than 150 flavors worldwide. Fanta originated as a Coca-Cola substitute in 1940 due to the American trade embargo of Nazi Germany which affected the availability of Coca-Cola ingredients; the current formulation was developed in Italy,14.18,1,https://www.bigbasket.com/media/uploads/p/l/251019-2_5-fanta-soft-drink-orange-flavoured.jpg,"https://www.bigbasket.com/media/uploads/p/l/251019-2_5-fanta-soft-drink-orange-flavoured.jpg,https://www.bigbasket.com/media/uploads/p/l/251019-3_5-fanta-soft-drink-orange-flavoured.jpg",TRUE
Pears,fruit,"Pears are much more than just a tasty and juicy fruit, they are remarkably nutritious and have some great health benefits. Some basic health benefits of pear include- improving the immune system, promoting weight loss, regulating blood sugar level, healthy heart, wound healing and detoxification.",19.49,4,https://c.ndtvimg.com/rovjge5_pears_625x300_13_July_18.jpg?q=50,"https://c.ndtvimg.com/rovjge5_pears_625x300_13_July_18.jpg?q=50,https://www.goodfruit.com/wp-content/uploads/abstractPearPortrait-06862tj-1.jpg",TRUE
Frooti,beverages,"Frooti is a mango-flavoured drink sold in India. It is the flagship product and most successful drink product made by Parle Agro. Frooti was launched in 1985 in TetraPak packaging, 
and is now also sold in PET bottles and rectangular shaped packs. Frooti is exported to the United States, Canada, the United Kingdom, the United Arab Emirates, Saudi Arabia, Malaysia, Maldives, 
Singapore, Thailand, New Zealand, Australia, Mozambique, Ghana, Malawi, Zambia, Nigeria, Tanzania, Japan, and Ireland. ",15.12,5,https://www.bigbasket.com/media/uploads/p/l/265699-2_2-frooti-drink-fresh-n-juicy-mango.jpg,"https://www.bigbasket.com/media/uploads/p/l/265699-2_2-frooti-drink-fresh-n-juicy-mango.jpg,https://www.bigbasket.com/media/uploads/p/l/265699-3_2-frooti-drink-fresh-n-juicy-mango.jpg",TRUE
Maaza,beverages,"Maaza (pronounced ""Mahza"") is a Coca-Cola fruit drink brand from India and marketed in the Africa, Eastern Europe and Asia. Its most popular drink is its mango fruit drink.
Initially Coca-Cola had also launched Maaza with orange and pineapple fruit drinks in addition to their mango drink, but these variants were subsequently dropped. Coca-Cola later re-launched 
these variants in the Indian market.Maaza's mango drink competes with Pepsi's Slice brand of mango drink and Frooti, manufactured by Parle Agro.",16.76,5,https://www.bigbasket.com/media/uploads/p/l/265690-2_12-maaza-mango-drink.jpg,"https://www.bigbasket.com/media/uploads/p/l/265690-2_12-maaza-mango-drink.jpg,https://www.bigbasket.com/media/uploads/p/l/265690-3_10-maaza-mango-drink.jpg",TRUE
Oranges,fruit,Orange popsicle ice cream bars made from fresh oranges.  a refreshing summer treat.,21.48,4,https://cdn.mos.cms.futurecdn.net/UaBq5LGpJQd3DDo6ve2dFW-970-80.jpg.webp,"https://cdn.mos.cms.futurecdn.net/UaBq5LGpJQd3DDo6ve2dFW-970-80.jpg.webp,https://images2.minutemediacdn.com/image/upload/c_crop,h_2450,w_4368,x_0,y_165/f_auto,q_auto,w_1100/v1562080363/shape/mentalfloss/29942-gettyimages-155302141.jpg",TRUE
 Pepsi,beverages,"Pepsi is a carbonated soft drink manufactured by PepsiCo. Originally created and developed in 1893 by Caleb Bradham and introduced as Brad's Drink, it was renamed as Pepsi-Cola 
in 1898,and then shortened to Pepsi in 1961.In the United States, Pepsi is made with carbonated water, high fructose corn syrup, caramel color, sugar, phosphoric acid, caffeine, citric acid, and 
natural flavors.",29.66,4,https://www.bigbasket.com/media/uploads/p/l/1203727-2_3-pepsi-swag-can.jpg,"https://www.bigbasket.com/media/uploads/p/l/1203727-2_3-pepsi-swag-can.jpg,https://www.bigbasket.com/media/uploads/p/l/1203727-3_3-pepsi-swag-can.jpg",TRUE
Muesli,dairy,Concept of healthy breakfast with muesli,22.7,2,https://images-na.ssl-images-amazon.com/images/I/71iIqw4UzCL._SL1500_.jpg,"https://images-na.ssl-images-amazon.com/images/I/71iIqw4UzCL._SL1500_.jpg,https://images-na.ssl-images-amazon.com/images/I/71WliioCkpL._SL1500_.jpg",TRUE
Honey,bakery,Honey and honeycell on the table,17.01,2,https://5.imimg.com/data5/OX/VQ/MY-37032104/fresh-honey-500x500.jpg,"https://5.imimg.com/data5/OX/VQ/MY-37032104/fresh-honey-500x500.jpg,https://www.jessicagavin.com/wp-content/uploads/2019/02/honey-1-1200.jpg",TRUE
 Slice,beverages,"Slice is a line of fruit-flavored soft drinks originally manufactured by PepsiCo and introduced in 1984 (to replace the Teem brand) but discontinued by PepsiCo in the United 
States in the late 2000s. ",14.05,1, https://www.bigbasket.com/media/uploads/p/l/265884_8-slice-thickest-mango-drink.jpg," https://www.bigbasket.com/media/uploads/p/l/265884_8-slice-thickest-mango-drink.jpg,https://www.bigbasket.com/media/uploads/p/l/265884-2_3-slice-thickest-mango-drink.jpg",TRUE
Sprite,beverages,"Sprite is a colorless, lemon and lime-flavored soft drink created by The Coca-Cola Company. It was first developed in West Germany in 1959 as Fanta Klare Zitrone 
(""Clear Lemon Fanta"") and was introduced in the United States under the current brand name Sprite in 1961 as a competitor to 7 Up.[1] Sprite comes in multiple flavours, including, but not limited 
to, cranberry, cherry, grape, orange, and vanilla.",28.86,2,https://www.bigbasket.com/media/uploads/p/l/251006-2_9-sprite-soft-drink-lime-flavoured.jpg,"https://www.bigbasket.com/media/uploads/p/l/251006-2_9-sprite-soft-drink-lime-flavoured.jpg,https://www.bigbasket.com/media/uploads/p/l/251006-3_6-sprite-soft-drink-lime-flavoured.jpg",TRUE
Apple,fruit," An apple is an edible fruit produced by an apple tree (Malus domestica). Apple trees are cultivated worldwide and are the most widely grown species in the genus Malus. The tree 
originated in Central Asia, where its wild ancestor, Malus sieversii, is still found today. Apples have been grown for thousands of years in Asia and Europe and were brought to North America by 
European colonists.",26.21,4,https://www.bigbasket.com/media/uploads/p/l/40033824-2_11-fresho-apple-red-delicious-regular.jpg,"https://www.bigbasket.com/media/uploads/p/l/40033824-2_11-fresho-apple-red-delicious-regular.jpg,https://www.bigbasket.com/media/uploads/p/l/40033824-2_11-fresho-apple-red-delicious-regular.jpg",TRUE
Ricotta,dairy,Ricotta with berry and mint,27.81,5,https://www.utahfarmbureau.org/Article/Live/titleImage?articleId=1924&modhash=061819-165746,"https://www.utahfarmbureau.org/Article/Live/titleImage?articleId=1924&modhash=061819-165746,https://www.thespruceeats.com/thmb/2tV0Pe5jwIvGaowWFDlgBwGmIsg=/960x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/106908888-58aefb225f9b58a3c9287cf3.jpg",TRUE
Banana,fruit,"Relish the soft, buttery texture of Robusta bananas that are light green and have a great fragrance and taste. The stalks of Robustas are thick and rigid. Fresh fruits are green, 
which revolve to a bright yellow on ripening and the flesh contains a white - ceramic colour. Fresho Robusta is fine quality, sweet flavoured, mushy and soft bananas.",18.5,4, https://www.bigbasket.com/media/uploads/p/l/10000025-2_3-fresho-banana-robusta.jpg," https://www.bigbasket.com/media/uploads/p/l/10000025-2_3-fresho-banana-robusta.jpg,https://www.bigbasket.com/media/uploads/p/l/10000025-3_3-fresho-banana-robusta.jpg",TRUE
Granola,dairy,"Glass jar with homemade granola and yogurt with nuts, raspberries and blackberries on wooden cutting board over white textile in day light",29.97,3,https://www.thespruceeats.com/thmb/4D-JLsYxG_JygGDiqIWWE4U_r3Y=/960x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/185073412-56a371c35f9b58b7d0d1fc7a.jpg,"https://www.thespruceeats.com/thmb/4D-JLsYxG_JygGDiqIWWE4U_r3Y=/960x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/185073412-56a371c35f9b58b7d0d1fc7a.jpg,https://www.thespruceeats.com/thmb/AaGXjgldbs536ie-ohzzGGs3wM0=/960x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/GranolaBarRecipeHERO-1e1894a9acc6467388f7662dbe2c3ba3.jpg",TRUE
Mango,fruit,": A mango is a stone fruit produced from numerous species of tropical trees belonging to the flowering plant genus Mangifera, cultivated 
mostly for their edible fruit. Most of these species are found in nature as wild mangoes. The genus belongs to the cashew family Anacardiaceae. Mangoes are 
native to South Asia, from where the ""common mango"" or ""Indian mango"", Mangifera indica, has been distributed worldwide to become one of the most widely 
cultivated fruits in the tropics.",25.26,5,https://www.bigbasket.com/media/uploads/p/l/10000302_4-fresho-alphonso-mango-badami.jpg,"https://www.bigbasket.com/media/uploads/p/l/10000302_4-fresho-alphonso-mango-badami.jpg,https://www.bigbasket.com/media/uploads/p/l/10000302-2_1-fresho-alphonso-mango-badami.jpg",TRUE
Yogurt,dairy,Homemade yogurt with raspberry and mint,27.61,4,https://www.daringgourmet.com/wp-content/uploads/2019/10/How-to-Make-Yogurt-4-1024x1536.jpg,"https://www.daringgourmet.com/wp-content/uploads/2019/10/How-to-Make-Yogurt-4-1024x1536.jpg,https://image.shutterstock.com/image-photo/greek-yogurt-wooden-bowl-on-260nw-726271063.jpg",TRUE
Beans,vegetable," Green beans are the unripe, young fruit of various cultivars of the common bean (Phaseolus vulgaris).[1][2] Immature or young pods of the runner bean (Phaseolus coccineus), 
yardlong bean ",22.48,5,https://www.bigbasket.com/media/uploads/p/l/20000702_14-fresho-beans-french-round.jpg,"https://www.bigbasket.com/media/uploads/p/l/20000702_14-fresho-beans-french-round.jpg,https://www.bigbasket.com/media/uploads/p/l/20000702-2_2-fresho-beans-french-round.jpg",TRUE
Cherry,fruit,Cherry with sugar on old table,14.35,5,https://img.webmd.com/dtmcms/live/webmd/consumer_assets/site_images/articles/health_tools/health_benefits_of_cherries_slideshow/1800ss_getty_rf_cherries_alone.jpg?resize=650px:*,"https://img.webmd.com/dtmcms/live/webmd/consumer_assets/site_images/articles/health_tools/health_benefits_of_cherries_slideshow/1800ss_getty_rf_cherries_alone.jpg?resize=650px:*,https://image.shutterstock.com/image-photo/cherry-isolated-on-white-cherries-260nw-1392023051.jpg",TRUE
Beetroot,vegetable,"The beetroot is the taproot portion of a beet plant, usually known in Canada and the USA as beets while the vegetable is referred to as beetroot in British English, and also 
known as the table beet, garden beet, red beet, dinner beet or golden beet. It is one of several cultivated varieties of Beta vulgaris grown for their edible taproots and leaves 
(called beet greens); they have been classified as B. vulgaris subsp. vulgaris Conditiva Group.Besides being used as a food, beets have uses as a food colouring and as a medicinal plant. 
Many beet products are made from other Beta vulgaris varieties, particularly sugar beet.",22.97,4,https://www.bigbasket.com/media/uploads/p/l/10000047-2_32-fresho-beetroot.jpg,"https://www.bigbasket.com/media/uploads/p/l/10000047-2_32-fresho-beetroot.jpg,https://www.bigbasket.com/media/uploads/p/l/10000047-4_2-fresho-beetroot.jpg	",TRUE
Corn,vegetable,Grilled corn on the cob with salt and butter,13.55,2,https://www.jessicagavin.com/wp-content/uploads/2019/05/how-to-cook-corn-on-the-cob-1-600x900.jpg,"https://www.jessicagavin.com/wp-content/uploads/2019/05/how-to-cook-corn-on-the-cob-1-600x900.jpg,https://thelemonbowl.com/wp-content/uploads/2015/07/Papa-Leos-Sweet-Corn-The-Lemon-Bowl-1-1152x1536.jpg",TRUE
coconut,fruit,"Coconut is the fruit of the coconut palm (Cocos nucifera). It's used for its water, milk, oil, and tasty meat. Coconuts have been grown in tropical regions for more than 4,500 years but recently increased in popularity for their flavor, culinary uses, and potential health benefits",28.96,5,https://www.bigbasket.com/media/uploads/p/l/10000093-2_25-fresho-coconut-medium.jpg,"https://www.bigbasket.com/media/uploads/p/l/10000093-2_25-fresho-coconut-medium.jpg,https://www.bigbasket.com/media/uploads/p/l/40023478-2_1-fresho-coconut-organically-grown.jpg",TRUE
Fresh blueberries,fruit,"Healthy breakfast. berry crumble with fresh blueberries, raspberries, strawberries, almond, walnuts, pecans, yogurt, and mint in ceramic plates over white wooden surface, top view",21.01,4,https://images.unsplash.com/photo-1498557850523-fd3d118b962e?ixid=MXwxMjA3fDB8MHxzZWFyY2h8MXx8Ymx1ZWJlcnJpZXN8ZW58MHx8MHw%3D&ixlib=rb-1.2.1&auto=format&fit=crop&w=500&q=60,"https://images.unsplash.com/photo-1498557850523-fd3d118b962e?ixid=MXwxMjA3fDB8MHxzZWFyY2h8MXx8Ymx1ZWJlcnJpZXN8ZW58MHx8MHw%3D&ixlib=rb-1.2.1&auto=format&fit=crop&w=500&q=60,https://images.unsplash.com/photo-1597774681009-f8679cf72348?ixid=MXwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHw%3D&ixlib=rb-1.2.1&auto=format&fit=crop&w=634&q=80",TRUE
Smashed avocado,fruit,"Vegan sandwiches with smashed avocado, tomatoes and radish. top view",25.88,0,https://chefsmandala.com/wp-content/uploads/2018/03/Avocado-1024x576.jpg,"https://chefsmandala.com/wp-content/uploads/2018/03/Avocado-1024x576.jpg,https://images-na.ssl-images-amazon.com/images/I/513T70%2B8siL._SX450_.jpg",TRUE
cup cakes,bakery,"his cute dessert is as much a treat to make as it is to eat! Bake these cupcakes with your kids, play around with the frosting and create some delicious snack",15.18,1,https://cdn.sallysbakingaddiction.com/wp-content/uploads/2017/06/moist-chocolate-cupcakes-5-600x900.jpg,https://cdn.sallysbakingaddiction.com/wp-content/uploads/2017/06/moist-chocolate-cupcakes-5-600x900.jpg,TRUE
Puff,bakery,Puff is an all time favorite bakery snack which is enjoyed by all people. Homemade puff pastry adds extra layers ,21.32,0,https://cafehops.com/wp-content/uploads/2013/11/cafehops_puffs_plain-e1387283153917.jpg,https://cafehops.com/wp-content/uploads/2013/11/cafehops_puffs_plain-e1387283153917.jpg,TRUE
Dairy Milk Silk,bakery,Cadbury Dairy Milk Silk is all about experiencing in the chocolate's richness and creaminess.,27.14,2,https://5.imimg.com/data5/FY/JU/MY-40369435/diary-milk-chocolate-90-gm-500x500.jpg,,TRUE
Plums,fruit,Yellow and red sweet plums,19.18,1,https://5.imimg.com/data5/VD/AJ/MY-34965592/fresh-plum-fruit-500x500.jpg,https://5.imimg.com/data5/VD/AJ/MY-34965592/fresh-plum-fruit-500x500.jpg,TRUE
French fries,bakery,Homemade oven baked french fries with ketchup,18.32,3,https://pngimg.com/uploads/fries/fries_PNG97884.png,https://pngimg.com/uploads/fries/fries_PNG97884.png,TRUE
Grapes,fruit,"A grape is a fruit, botanically a berry, of the deciduous woody vines of the flowering plant genus Vitis. Grapes can be eaten fresh as table grapes or they can be used for making wine, jam, grape juice, jelly, grape seed extract, raisins, vinegar, and grape seed oil.",15.13,3,https://www.bigbasket.com/media/uploads/p/l/10000288-2_1-fresho-grapes-sonaka-seedless.jpg,"https://www.bigbasket.com/media/uploads/p/l/10000288-2_1-fresho-grapes-sonaka-seedless.jpg,https://www.bigbasket.com/media/uploads/p/l/10000288_21-fresho-grapes-sonaka-seedless.jpg",TRUE
Guava,fruit,"Guava (/??w??v?/) is a common tropical fruit cultivated in many tropical and subtropical regions. Psidium guajava (common guava, lemon guava) is a small tree in the myrtle family (Myrtaceae), native to Mexico, Central America, the Caribbean and northern South America and Asia.",11.73,5,https://www.bigbasket.com/media/uploads/p/l/10000370_13-fresho-guava.jpg,https://www.bigbasket.com/media/uploads/p/l/10000370_13-fresho-guava.jpg,TRUE
Ladies Finger,vegetable,"Ladies finger is a green vegetable with a tip at the end and a lighter green head, which is inedibe and to be thrown away. It tastes mild and slightly grassy.",26.03,4,https://www.bigbasket.com/media/uploads/p/l/40023470_3-fresho-ladies-finger-organically-grown.jpg,"https://www.bigbasket.com/media/uploads/p/l/40023470_3-fresho-ladies-finger-organically-grown.jpg,https://www.bigbasket.com/media/uploads/p/l/40023470_3-fresho-ladies-finger-organically-grown.jpg",TRUE
Mosambi,fruit,Mosambi (sweet lime) is a citrus fruit that comes with a host of health benefits. Consume freshly squeezed mosambi juice to reap those benefits.,15.19,4, https://www.bigbasket.com/media/uploads/p/l/40033917_1-fresho-sweet-lime-organically-grown.jpg," https://www.bigbasket.com/media/uploads/p/l/40033917_1-fresho-sweet-lime-organically-grown.jpg,https://www.bigbasket.com/media/uploads/p/l/10000191-4_2-fresho-mosambi.jpg",TRUE
Onion,vegetable,"The onion (Allium cepa L., from Latin cepa ""onion""), also known as the bulb onion or common onion, is a vegetable that is the most widely cultivated species of the genus Allium. The shallot is a botanical variety of the onion. Until 2010, the shallot was classified as a separate species.",18.18,1,https://www.bigbasket.com/media/uploads/p/l/20000910_12-fresho-orange-imported.jpg,"https://www.bigbasket.com/media/uploads/p/l/20000910_12-fresho-orange-imported.jpg,https://www.bigbasket.com/media/uploads/p/l/20000910_12-fresho-orange-imported.jpg",TRUE
Biscuits,bakery,"Munch on your favorite snacks as Biscuits and Cookie.Biscuits and cookies like crunchy cookies, Marie gold, vanilla cream biscuit",25.62,3,https://www.christinascucina.com/wp-content/uploads/2017/10/fullsizeoutput_6b2a-735x490.jpeg,"https://www.christinascucina.com/wp-content/uploads/2017/10/fullsizeoutput_6b2a-735x490.jpeg,https://images.immediate.co.uk/production/volatile/sites/30/2020/08/easy_choc_biscuits-f98c5dd.jpg?webp=true&quality=90&resize=408%2C370",TRUE
